Object Name,isContainer?,currentStateContainer?,stateChangeToContainer?,Pose 1: canBeGraspedByJaco?,Grasp notes,Pose 2: ,,image link
002_master_chef_can ,1,0,1,0,"very hard to balance, slips off",,,https://lh4.googleusercontent.com/B0lF32cgyGx9nxV911MPPb4Di44kuInBehVdq4UmqTIxYFFubX3c6jLvFN0=w2400
053_mini_soccer_ball,0,0,0,0,,,,https://lh4.googleusercontent.com/hXM9hSjRj1TXuGzyY3bI2yXljmDyrr86eo5YvwPkmWltrn2ZfcgSEtP-SmY=w2400
001_chips_can ,1,0,1,1,,,,https://lh5.googleusercontent.com/3DafffOTtt-i3PGl2L5ZKMQUfmG77naBs1n6l6orR_gI7dbUJ8AMsqFjNLA=w2400
003_cracker_box,1,0,1,1,,,,https://lh4.googleusercontent.com/AyQEHZ56t6D5JIX1nE1M1ikCs8tVjHDKb7JbFtuHQJhb6xNTgVHtg6TyJDE=w2400
004_sugar_box,1,0,1,1,,,,https://lh3.googleusercontent.com/pN8oSyqZSWz7ajBjyoq_UGHuNXJLpAe_U588IDshRs-3_xHdAxNGoTgoREI=w2400
005_tomato_soup_can,1,0,1,1,,,,https://lh6.googleusercontent.com/jVZhnf3hZwh7mEU7tqPXDEMsTP-mNrBNQhfYM9fPl4_EelVml8Fle09M1r8=w2400
006_mustard_bottle,1,0,1,1,,,,https://lh6.googleusercontent.com/rDTh-kpLEhKo2JFUstIrxAVVoJ2BJKE_EglS4Rk-ZnkchYD6zVQg31f4ghc=w2400
011_banana,0,0,0,1,,,,https://lh3.googleusercontent.com/uiriUwaiQ0aSZA2WHCb-oRVhVwcNCRoeFDaA6l9bZK_H1-w1oNePOH34_6o=w2400
012_strawberry,0,0,0,1,,,,https://lh5.googleusercontent.com/HceR6CryrNGmmnx-6yoYPJXo0bhMk0C5_kiu4w7kTE3hI3ozIrZSrbV9ubs=w2400
013_apple,0,0,0,1,,,,https://lh4.googleusercontent.com/ZH4xW9KTRZa3b92mFI5RjJERSILVuZ4a_sjXbWj5SuW6ZwOvYGOXsUjI4uY=w2400
